date,TEST,ARIMA1,ARIMA3,ARIMA7 ,ARIMA14,BP1,BP3,BP7,BP14,LSTM1,LSTM3,LSTM7,LSTM14,seq2seq1,seq2seq3,seq2seq7,seq2seq14
9/18/2014,2011.359985,2000.702693,1435.230301,1373.533704,1349.798641,1965.603638,1616.693726,1457.53894,1228.242065,1810.195923,1954.994751,1811.514771,1569.292603,1956.840942,1937.562988,1907.069824,1844.703247
9/19/2014,2010.400024,2010.942702,1434.059527,1373.209668,1349.878564,1947.137817,1613.9646,1455.040161,1229.442261,1799.016479,1952.539795,1806.537231,1568.373535,1942.011841,1928.024414,1896.5271,1839.772583
9/22/2014,1994.290039,2010.10688,1417.32176,1373.055382,1349.854426,1933.963135,1606.224609,1450.556763,1224.110107,1791.025513,1941.418823,1801.578613,1565.719482,1931.407715,1906.537109,1881.25769,1819.839355
9/23/2014,1982.77002,1995.313399,1417.229777,1371.624464,1349.848772,1951.729492,1606.002441,1445.808594,1219.681519,1801.798828,1943.616089,1796.852661,1560.226318,1945.702881,1933.421265,1882.219238,1808.289795
9/24/2014,1998.300049,1984.647868,1417.105262,1370.699737,1349.83447,1914.818604,1601.212646,1443.968872,1215.783813,1779.390503,1936.337402,1795.676147,1556.94043,1915.961914,1896.685669,1912.862305,1827.115356
9/25/2014,1965.98999,1997.575115,1409.902657,1369.939424,1349.805694,1934.054565,1602.433594,1444.564575,1213.47876,1791.080811,1938.187866,1795.621094,1553.437012,1931.481445,1913.293091,1892.700195,1808.791992
9/26/2014,1982.849976,1968.088278,1410.697824,1371.51081,1349.771557,1928.287476,1592.318115,1440.778198,1208.709106,1787.578979,1925.615967,1789.42041,1550.332764,1926.833008,1904.867188,1854.677612,1793.00708
9/29/2014,1977.800049,1983.918243,1409.616185,1371.367286,1349.744309,1922.000244,1583.862427,1439.479736,1206.788208,1783.758179,1916.834961,1788.94165,1548.840698,1921.761108,1906.51001,1880.640137,1788.649536
9/30/2014,1972.290039,1977.888768,1413.021212,1371.117723,1349.715839,1892.263916,1583.562622,1435.281006,1206.450684,1765.648438,1916.654541,1785.815918,1549.109131,1897.708862,1885.386108,1863.349854,1792.067993
10/1/2014,1946.160034,1972.75785,1413.050075,1371.148816,1349.688396,1892.275146,1588.605103,1431.632935,1210.405762,1765.655151,1921.419189,1778.203979,1552.786987,1897.717773,1879.006226,1854.923096,1793.707886
